"CA","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color","color_backend","compensation","condition","coordinates","correct","correct_Instructions","correct_Response","correct_Start","count_BlockLoop","count_Feedback","count_Fixation","count_Instructions","count_Logger","count_NegativeFeedback","count_PositiveFeedback","count_Response","count_Start","count_Stimulus","count_TrialSequence","count_experiment","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","ink","keyboard_backend","live_row","live_row_BlockLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Feedback","response_Instructions","response_Response","response_Start","response_time","response_time_Feedback","response_time_Instructions","response_time_Response","response_time_Start","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_BlockLoop","time_Feedback","time_Fixation","time_Instructions","time_Logger","time_NegativeFeedback","time_PositiveFeedback","time_Response","time_Start","time_Stimulus","time_TrialSequence","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"s","100","100","628.3706999965943","628.3706999965943","grey","psycho","psycho","SARI","psycho","0","congruent","uniform","1","undefined","1","undefined","0","NA","0","0","0","0","0","0","0","0","0","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","yellow","psycho","0","0","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","s","NA","space","s","space","628.3706999965943","NA","1304.6830999956","628.3706999965943","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","4523.921100000734","2808.5028999921633","5912.270399989211","NA","5662.235999989207","5030.569299997296","4120.722399995429","5030.434599990258","4517.864900000859","2796.0982999939006","New experiment","1","628.3706999965943","1","yes","1024"
"y","100","100","858.909800001129","858.909800001129","grey","psycho","psycho","MAVİ","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","1","0","1","1","1","1","0","1","1","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","green","psycho","1","1","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","y","NA","space","y","space","1089.4489000056637","NA","1304.6830999956","1089.4489000056637","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","5974.709799993434","2808.5028999921633","7911.99079999933","NA","7661.933099996531","6567.692899989197","4120.722399995429","6567.416999998386","5970.193000001018","2796.0982999939006","New experiment","2","1717.819600002258","2","yes","1024"
"m","100","100","838.9131666675288","838.9131666675288","grey","psycho","psycho","MAVİ","psycho","0","congruent","uniform","1","undefined","1","undefined","0","NA","2","0","2","2","2","2","0","2","2","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","blue","psycho","2","2","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","m","NA","space","m","space","798.9199000003282","NA","1304.6830999956","798.9199000003282","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","7967.373899999075","2808.5028999921633","9530.164299998432","NA","9280.691599997226","8474.353599987808","4120.722399995429","8474.25359999761","7965.468700000201","2796.0982999939006","New experiment","3","2516.7395000025863","3","yes","1024"
"y","100","100","790.9598500009452","790.9598500009452","grey","psycho","psycho","YEŞİL","psycho","0","congruent","uniform","1","undefined","1","undefined","0","NA","3","0","3","3","3","3","0","3","3","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","green","psycho","3","3","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","y","NA","space","y","space","647.0999000011943","NA","1304.6830999956","647.0999000011943","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","9592.312299995683","2808.5028999921633","11001.553999987664","NA","10751.486399996793","10099.28179999406","4120.722399995429","10099.130399990827","9589.600999999675","2796.0982999939006","New experiment","4","3163.8394000037806","4","yes","1024"
"y","100","100","786.1148200026946","786.1148200026946","grey","psycho","psycho","YEŞİL","psycho","0","congruent","uniform","1","undefined","1","undefined","0","NA","4","0","4","4","4","4","0","4","4","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","green","psycho","4","4","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","y","NA","space","y","space","766.7347000096925","NA","1304.6830999956","766.7347000096925","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","11064.050199987832","2808.5028999921633","12591.933099989546","NA","12342.01480000047","11571.192199990037","4120.722399995429","11571.064699994167","11057.671399990795","2796.0982999939006","New experiment","5","3930.574100013473","5","yes","1024"
"y","100","100","760.9725666698068","760.9725666698068","grey","psycho","psycho","YEŞİL","psycho","0","congruent","uniform","1","undefined","1","undefined","0","NA","5","0","5","5","5","5","0","5","5","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","green","psycho","5","5","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","y","NA","space","y","space","635.261300005368","NA","1304.6830999956","635.261300005368","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","12647.068399994168","2808.5028999921633","14042.975299991667","NA","13792.622099994333","13154.31999998691","4120.722399995429","13154.158799996367","12645.33409998694","2796.0982999939006","New experiment","6","4565.835400018841","6","yes","1024"
"s","85.71428571428571","85.71428571428571","729.1347714323949","729.1347714323949","grey","psycho","psycho","MAVİ","psycho","0","incongruent","uniform","0","undefined","0","undefined","0","NA","6","0","6","6","6","6","0","6","6","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","yellow","psycho","6","6","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","m","NA","space","m","space","538.1080000079237","NA","1304.6830999956","538.1080000079237","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","14098.192599994945","2808.5028999921633","15397.405999989132","15147.152799996547","13792.622099994333","14604.910899986862","4120.722399995429","14604.818199994043","14095.946499990532","2796.0982999939006","New experiment","6","5103.943400026765","7","yes","1024"
"m","87.5","87.5","895.2366250032355","895.2366250032355","grey","psycho","psycho","SARI","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","7","0","7","7","7","7","0","7","7","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","blue","psycho","7","7","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","m","NA","space","m","space","2057.9495999991195","NA","1304.6830999956","2057.9495999991195","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","15459.09349998692","2808.5028999921633","18278.134199994383","15147.152799996547","18027.920299995458","15966.501399991103","4120.722399995429","15966.382300000987","15454.023599988432","2796.0982999939006","New experiment","7","7161.893000025884","8","yes","1024"
"y","77.77777777777777","77.77777777777777","892.9053000028944","892.9053000028944","grey","psycho","psycho","SARI","psycho","0","incongruent","uniform","0","undefined","0","undefined","0","NA","8","0","8","8","8","8","0","8","8","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","green","psycho","8","8","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","s","NA","space","s","space","874.254700000165","NA","1304.6830999956","874.254700000165","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","18333.53969999007","2808.5028999921633","19972.35849998833","19722.25669999898","18027.920299995458","18841.33299998939","4120.722399995429","18841.2215999997","18330.997500001104","2796.0982999939006","New experiment","7","8036.147700026049","9","yes","1024"
"m","80","80","947.7697700029239","947.7697700029239","grey","psycho","psycho","SARI","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","9","0","9","9","9","9","0","9","9","0","Sun Oct 25 19:23:44 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","no","768","blue","psycho","9","9","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks\quickrun.csv","psycho","Lentiform Loewenfeld","3.3.1","0","m","NA","space","m","space","1441.5500000031898","NA","1304.6830999956","1441.5500000031898","359.3459999974584","2","legacy","1024","2","48000","-16","experiment","999","odd","4481.295399993542","NA","20035.447899994324","2808.5028999921633","22242.20009999408","19722.25669999898","21992.556899989722","20542.175199996564","4120.722399995429","20542.06759999215","20027.303199996823","2796.0982999939006","New experiment","8","9477.697700029239","10","yes","1024"
