"CA","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color","color_backend","compensation","condition","coordinates","correct","correct_Instructions","correct_Response","correct_Start","count_BlockLoop","count_Feedback","count_Fixation","count_Instructions","count_Logger","count_NegativeFeedback","count_PositiveFeedback","count_Response","count_Start","count_Stimulus","count_TrialSequence","count_experiment","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","ink","keyboard_backend","live_row","live_row_BlockLoop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Feedback","response_Instructions","response_Response","response_Start","response_time","response_time_Feedback","response_time_Instructions","response_time_Response","response_time_Start","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_BlockLoop","time_Feedback","time_Fixation","time_Instructions","time_Logger","time_NegativeFeedback","time_PositiveFeedback","time_Response","time_Start","time_Stimulus","time_TrialSequence","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"k","100","100","1209.3870999960927","1209.3870999960927","grey","psycho","psycho","MAVİ","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","0","0","0","0","0","0","0","0","0","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","red","psycho","0","0","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","k","NA","space","k","space","1209.3870999960927","NA","315.84870000369847","1209.3870999960927","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","3361.5161000052467","2856.8599999998696","5326.08590000018","NA","5075.860500000999","3864.1573000058997","3175.4723000049125","3864.0608999994583","3356.3205000100425","2760.9980999986874","New experiment","1","1209.3870999960927","1","yes","1024"
"s","100","100","1129.3685999989975","1129.3685999989975","grey","psycho","psycho","MAVİ","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","1","0","1","1","1","1","0","1","1","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","yellow","psycho","1","1","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","s","NA","space","s","space","1049.3501000019023","NA","315.84870000369847","1049.3501000019023","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","5382.7627999999095","2856.8599999998696","7185.149400000228","NA","6935.648500002571","5883.47590000194","3175.4723000049125","5883.383699998376","5381.366200002958","2760.9980999986874","New experiment","2","2258.737199997995","2","yes","1024"
"m","100","100","1215.155433334682","1215.155433334682","grey","psycho","psycho","YEŞİL","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","2","0","2","2","2","2","0","2","2","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","blue","psycho","2","2","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","m","NA","space","m","space","1386.7291000060504","NA","315.84870000369847","1386.7291000060504","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","7242.087899998296","2856.8599999998696","9382.779200008372","NA","9132.443299997249","7743.302000002586","3175.4723000049125","7743.211100008921","7240.481500004535","2760.9980999986874","New experiment","3","3645.4663000040455","3","yes","1024"
"s","100","100","1120.8782249996148","1120.8782249996148","grey","psycho","psycho","MAVİ","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","3","0","3","3","3","3","0","3","3","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","yellow","psycho","3","3","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","s","NA","space","s","space","838.0465999944136","NA","315.84870000369847","838.0465999944136","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","9438.61250000191","2856.8599999998696","11030.970699997852","NA","10780.500299995765","9940.412700001616","3175.4723000049125","9940.327800009982","9437.102099996991","2760.9980999986874","New experiment","4","4483.512899998459","4","yes","1024"
"s","100","100","1099.7867400001269","1099.7867400001269","grey","psycho","psycho","KIRMIZI","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","4","0","4","4","4","4","0","4","4","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","yellow","psycho","4","4","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","s","NA","space","s","space","1015.4208000021754","NA","315.84870000369847","1015.4208000021754","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","11089.688499996555","2856.8599999998696","12861.137900006725","NA","12610.804900003131","11592.195899997023","3175.4723000049125","11592.105400006403","11088.09000000474","2760.9980999986874","New experiment","5","5498.933700000634","5","yes","1024"
"y","100","100","1130.0170333318722","1130.0170333318722","grey","psycho","psycho","MAVİ","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","5","0","5","5","5","5","0","5","5","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","green","psycho","5","5","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","y","NA","space","y","space","1281.1684999905992","NA","315.84870000369847","1281.1684999905992","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","12915.182800003095","2856.8599999998696","14955.397800003993","NA","14704.373700005817","13417.60840000643","3175.4723000049125","13417.523900003289","12912.935600004857","2760.9980999986874","New experiment","6","6780.102199991234","6","yes","1024"
"s","100","100","1104.1539999984836","1104.1539999984836","grey","psycho","psycho","MAVİ","psycho","0","incongruent","uniform","1","undefined","1","undefined","0","NA","6","0","6","6","6","6","0","6","6","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","yellow","psycho","6","6","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","s","NA","space","s","space","948.9757999981521","NA","315.84870000369847","948.9757999981521","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","15012.623300004634","2856.8599999998696","16722.690099995816","NA","16472.429600005853","15517.612700001337","3175.4723000049125","15517.523100003018","15007.789700001013","2760.9980999986874","New experiment","7","7729.077999989386","7","yes","1024"
"y","100","100","1050.0803249997261","1050.0803249997261","grey","psycho","psycho","YEŞİL","psycho","0","congruent","uniform","1","undefined","1","undefined","0","NA","7","0","7","7","7","7","0","7","7","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","green","psycho","7","7","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","y","NA","space","y","space","671.5646000084234","NA","315.84870000369847","671.5646000084234","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","16782.10229999968","2856.8599999998696","18214.41169999889","NA","17963.35089999775","17286.229999997886","3175.4723000049125","17286.14120000566","16777.318300009938","2760.9980999986874","New experiment","8","8400.64259999781","8","yes","1024"
"y","100","100","977.5059333333047","977.5059333333047","grey","psycho","psycho","YEŞİL","psycho","0","congruent","uniform","1","undefined","1","undefined","0","NA","8","0","8","8","8","8","0","8","8","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","green","psycho","8","8","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","y","NA","space","y","space","396.91080000193324","NA","315.84870000369847","396.91080000193324","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","18275.685800006613","2856.8599999998696","19432.817399996566","NA","19182.5938999973","18780.741700000362","3175.4723000049125","18780.641000004834","18270.731600001454","2760.9980999986874","New experiment","9","8797.553399999742","9","yes","1024"
"y","100","100","913.7911199999508","913.7911199999508","grey","psycho","psycho","YEŞİL","psycho","0","congruent","uniform","1","undefined","1","undefined","0","NA","9","0","9","9","9","9","0","9","9","0","Sun Oct 25 19:22:08 2020","The main experiment item","yes","Stroop_TR.osexp","C:\Users\aytac\Documents\GitHub\aytackarabay.github.io\Files\Tasks","no","mono","no","18","no","white","no","yes","768","green","psycho","9","9","C:/Users/aytac/Documents/GitHub/aytackarabay.github.io/Files/Tasks/subject-0.csv","psycho","Lentiform Loewenfeld","3.3.1","0","y","NA","space","y","space","340.3577999997651","NA","315.84870000369847","340.3577999997651","144.68440000200644","2","legacy","1024","2","48000","-16","experiment","0","even","3320.8611000009114","NA","19490.17289999756","2856.8599999998696","20589.63180000137","NA","20339.958199998364","19994.215600003372","3175.4723000049125","19994.13110000023","19484.97089999728","2760.9980999986874","New experiment","10","9137.911199999508","10","yes","1024"
